	All-country average
	No warming	2.6 W m-2	4.5 W m-2	7.0 W m-2	8.5 W m-2
No growth	10742.01	11379.65	11081.22	11154.51	10988.40
SSP1	53258.02	50179.29	45756.42	44718.52	41932.35
SSP2	39223.90	36508.52	32824.98	31947.22	29761.50
SSP3	14168.73	13009.81	11509.77	11050.89	10304.28
SSP4	26868.67	25715.72	23923.76	23484.37	22478.87
SSP5	94489.85	90872.35	84981.56	84021.59	80085.55
	High-income group
	No warming	2.6 W m-2	4.5 W m-2	7.0 W m-2	8.5 W m-2
No growth	22627.84	31301.06	31805.83	32544.05	32478.56
SSP1	87127.57	89969.81	90732.91	92083.60	91697.78
SSP2	74015.40	76509.15	77136.13	78361.82	78023.45
SSP3	38069.62	39383.44	39629.95	40162.98	39891.21
SSP4	86666.08	89178.41	89535.17	90750.72	90404.07
SSP5	147775.34	152511.07	153924.00	156383.13	156023.81
	Middle-income group
	No warming	2.6 W m-2	4.5 W m-2	7.0 W m-2	8.5 W m-2
No growth	4771.18	3284.12	2273.01	1705.34	1348.85
SSP1	46439.42	40284.35	32443.22	28479.04	25132.55
SSP2	34323.08	29215.94	22849.64	19612.24	17006.32
SSP3	12357.48	10138.41	7451.17	5987.24	4990.78
SSP4	18569.23	15558.31	12189.03	10090.84	8753.77
SSP5	77570.15	68417.22	56718.33	50885.03	45807.53
	Low-income group
	No warming	2.6 W m-2	4.5 W m-2	7.0 W m-2	8.5 W m-2
No growth	1573.04	845.20	332.04	255.28	117.23
SSP1	31572.04	25726.68	19274.09	18036.28	13755.13
SSP2	20946.32	16338.30	11446.74	10514.23	7439.44
SSP3	5590.47	3964.40	2345.53	1978.50	1164.47
SSP4	6576.23	4832.28	2930.03	2620.51	1507.61
SSP5	52550.98	43938.06	34209.75	32633.33	25885.32

